#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
acinetobacter.fna	NZ_CP045110.1	101401	102216	-	sul2	1-816/816	===============	0/0	100.00	100.00	card	AY055428.1:21084-20268	Sul2 is a sulfonamide resistant dihydropteroate synthase of Gram-negative bacteria usually found on small plasmids.	sulfonamide
acinetobacter.fna	NZ_CP045110.1	225025	225813	+	ANT(3'')-IIa	1-789/789	===============	0/0	100.00	100.00	card	GG704579.1:35369-34580	ANT(3'')-IIa is a aminoglycoside nucleotidyltransferase identified in Acinetobacter spp. via horizontal gene transfer mechanisms.	aminoglycoside
acinetobacter.fna	NZ_CP045110.1	478577	479923	-	abeM	1-1347/1347	===============	0/0	100.00	100.00	card	AB204810.2:186-1533	AbeM is an multidrug efflux pump found in Acinetobacter baumannii.	disinfecting_agents_and_antiseptics;fluoroquinolone
acinetobacter.fna	NZ_CP045110.1	521272	522372	-	LpsB	1-1101/1101	===============	0/0	100.00	100.00	card	CP045110.1:522372-521271	LpsB is involved in lipopolysaccharide synthesis. It confers intrinsic resistance to colistin and other peptide antibiotics.	peptide
acinetobacter.fna	NZ_CP045110.1	1626239	1627528	-	Acinetobacter_baumannii_AbaF	1-1290/1290	===============	0/0	100.00	96.74	card	CP000521.1:1558523-1557233	Expression of abaF in E. coli resulted in increased resistance to fosfomycin.	phosphonic_acid
acinetobacter.fna	NZ_CP045110.1	1887843	1888667	-	OXA-1117	1-825/825	===============	0/0	100.00	99.88	card	ON212676.1:0-825	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-1117.	carbapenem;penicillin_beta-lactam
acinetobacter.fna	NZ_CP045110.1	2150991	2154098	-	adeB	1-3108/3108	===============	0/0	100.00	98.07	card	AF370885.1:4628-7736	AdeB is the multidrug transporter of the adeABC efflux system.	glycylcycline;tetracycline
acinetobacter.fna	NZ_CP045110.1	2154098	2155288	-	adeA	1-1191/1191	===============	0/0	100.00	97.73	card	AF370885.1:3438-4629	AdeA is the membrane fusion protein of the multidrug efflux complex AdeABC.	glycylcycline;tetracycline
acinetobacter.fna	NZ_CP045110.1	2155434	2156177	+	adeR	1-744/744	===============	0/0	100.00	98.12	card	HM440348.1:0-744	AdeR is a positive regulator of AdeABC efflux system. AdeR inactivation leads to susceptibility to aminoglycoside antibiotics.	glycylcycline;tetracycline
acinetobacter.fna	NZ_CP045110.1	2156209	2157273	+	adeS	1-1065/1086	===============	0/0	98.07	95.78	card	HM440348.1:775-1861	AdeS is a sensor kinase in the AdeRS regulatory system of AdeABC. It is essential for AdeABC expression.	glycylcycline;tetracycline
acinetobacter.fna	NZ_CP045110.1	2265316	2266620	-	Acinetobacter_baumannii_AbaQ	1-1305/1305	===============	0/0	100.00	95.63	card	CP001182.2:2256889-2255584	AbaQ is an MFS transporter mainly involved in the extrusion of quinolone-type drugs in A. baumannii.	fluoroquinolone
acinetobacter.fna	NZ_CP045110.1	2419006	2419659	+	adeN	1-654/654	===============	0/0	100.00	98.62	card	KF147862.1:0-654	AdeN is a repressor of AdeIJK a RND-type efflux pump in Acinetobacter baumannii. Its inactivation increases expression of AdeJ.	carbapenem;cephalosporin;diaminopyrimidine;fluoroquinolone;lincosamide;macrolide;penicillin_beta-lactam;phenicol;rifamycin;tetracycline
acinetobacter.fna	NZ_CP045110.1	2473727	2475205	-	Acinetobacter_baumannii_AmvA	1-1479/1479	===============	0/0	100.00	97.90	card	FJ911554.1:176-1655	AmvA has 14 alpha-helical transmembrane segments qualifying it as a member of the DHA2 transporter family of the major facilitator superfamily (MFS). When AmvA was expressed in E. coli  the cells had at least four-fold decreased susceptibility to erythromycin acridine orange acriflavine deoxycholate and methyl viologen. AmvA from the AC0037 strain of A. baumannii was tested.	disinfecting_agents_and_antiseptics;macrolide
acinetobacter.fna	NZ_CP045110.1	2747766	2748095	+	abeS	1-330/330	===============	0/0	100.00	97.88	card	CP001172.1:1249348-1249018	AbeS in an efflux pump of the SMR family of transporters found in Acinetobacter baumannii.	aminocoumarin;macrolide
acinetobacter.fna	NZ_CP045110.1	2751404	2752417	-	adeL	1-1014/1014	===============	0/0	100.00	99.70	card	KR297239.1:1428-414	AdeL is a regulator of AdeFGH in Acinetobacter baumannii. AdeL mutations are associated with AdeFGH overexpression and multidrug resistance.	fluoroquinolone;tetracycline
acinetobacter.fna	NZ_CP045110.1	2752633	2753853	+	adeG	1-1221/1221	===============	0/0	100.00	98.36	card	CT025800.2:0-1221	AdeG is the inner membrane transporter of the AdeFGH multidrug efflux complex.	fluoroquinolone;tetracycline
